period 	Crime, total	General	Economic	Robberies	"Burglaries in dwellings and family houses"	Rapes	Murders
2005	19,992	12,174	5,434	501	389	57	34
2006	19,022	10,660	5,000	471	263	53	31
2007	17,464	9,419	3,566	319	239	65	36
2008	15,183	7,714	2,938	269	220	36	28
2009	15,765	8,437	2,371	347	354	47	29
2010	13,986	8,251	2,224	300	321	39	19
2011	15,584	9,352	2,450	293	320	52	26
2012	15,964	9,884	2,525	240	252	52	24
2013	17,754	11,459	3,028	273	270	55	21
2014	17,620	10,887	3,344	218	319	74	20
2015	16,227	9,848	3,257	163	201	77	22
