period 	total	General	Economic	Robberies	"Burglaries in dwellings and family houses"	Rapes	Murders
2005	95,653	83,206	9,737	1,873	3,143	94	37
2006	89,258	77,592	7,986	1,543	2,749	91	39
2007	87,077	75,178	6,954	1,263	2,206	102	40
2008	82,957	70,352	7,232	1,056	2,272	78	32
2009	83,981	71,406	6,846	1,088	2,536	74	34
2010	74,028	63,509	6,274	830	2,753	81	22
2011	74,122	63,207	6,471	661	2,332	109	29
2012	72,345	61,383	6,713	555	2,051	94	26
2013	82,005	70,476	7,432	533	2,466	88	26
2014	71,828	60,204	7,462	394	2,234	129	28
2015	64,095	52,508	7,707	283	1,761	114	24
