period	"total"	"Employees"	Employers	"Own-account workers"	"Family workers"
2012Q1	639.4	472.0	25.3	141.3	0.8
2012Q2	647.5	477.0	25.0	144.8	.
2012Q3	648.8	480.9	24.8	142.0	1.0
2012Q4	654.6	480.4	23.3	142.1	8.9
2013Q1	647.3	495.0	20.7	123.2	8.4
2013Q2	655.5	512.2	20.0	114.7	8.6
2013Q3	646.6	505.9	20.5	110.7	9.5
2013Q4	648.1	511.8	21.2	108.6	6.5
2014Q1	641.1	504.0	22.0	111.5	3.5
2014Q2	644.8	499.8	21.9	118.9	4.1
2014Q3	651.4	504.6	21.1	121.4	4.4
2014Q4	654.7	501.8	29.0	120.1	3.7
2015Q1	653.0	503.3	30.8	115.1	3.8
2015Q2	647.4	502.6	30.0	111.6	3.3
2015Q3	649.7	513.3	27.5	107.0	1.8
2015Q4	648.5	515.3	26.3	104.8	2.0
2016Q1	654.6	525.0	21.8	105.5	2.3
2016Q2	660.7	529.6	16.9	113.0	1.2
2016Q3	665.5	534.7	17.1	112.2	1.5

period	"total"	"Employees"	Employers	"Own-account workers"	"Family workers"
2012	647.6	477.6	24.6	142.6	2.8
2013	649.4	506.2	20.6	114.3	8.3
2014	648.0	502.6	23.5	118.0	4.0
2015	649.6	508.6	28.7	109.6	2.7
